Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35
Beta_1.0,u_001,86,211,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,2,0,2,1,0,0,0,0,0,0,0,4,4,0,3,2,0,2,2,2,1,0,1,0,0,2,0,1,4,7,5,87,382,108
Beta_1.0,u_002,94,214,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,4,3,0,0,0,0,0,2,1,1,2,1,2,0,1,0,0,1,2,5,1,1,4,0,0,1,0,0,1,0,3,79,380,170
Beta_1.0,u_003,77,223,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,3,1,3,1,0,0,1,1,0,1,1,4,1,0,0,0,1,1,1,0,0,0,5,4,3,3,11,68,404,174
Beta_1.0,u_004,69,192,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,3,0,1,2,3,0,0,1,0,1,2,1,3,3,3,1,1,3,2,1,10,73,432,137
Beta_1.0,u_005,76,179,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,5,1,4,3,3,1,5,1,1,1,0,5,8,69,400,145
Beta_1.0,u_006,68,173,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,2,2,0,0,2,1,1,0,1,1,0,1,1,4,1,3,4,0,10,59,408,144
Beta_1.0,u_007,73,181,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,7,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,3,2,0,2,0,0,0,1,1,2,1,1,5,69,427,150
Beta_1.0,u_008,76,147,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,2,3,3,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,5,3,0,2,0,2,54,445,153
Beta_1.0,u_009,88,146,19,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,2,2,1,0,0,0,1,0,0,0,1,0,2,3,0,0,0,0,1,1,1,0,0,3,0,1,0,2,1,1,1,5,58,483,142
Beta_1.0,u_010,80,178,13,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,2,0,2,1,2,1,0,2,5,0,4,62,479,122
Beta_1.0,u_011,70,214,9,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,1,1,1,0,0,3,2,2,1,1,3,62,495,106
Beta_1.0,u_012,69,202,12,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,2,0,1,1,0,0,0,0,1,1,1,0,0,1,2,0,2,0,2,2,1,0,1,2,0,0,0,2,3,0,2,79,449,96
Beta_1.0,u_013,78,188,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,6,2,1,0,0,0,1,0,0,1,1,0,0,0,2,2,1,1,0,0,5,1,3,0,1,2,2,1,1,4,66,426,134
Beta_1.0,u_014,86,190,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,8,1,0,2,1,0,0,1,0,1,0,1,0,1,1,2,3,4,2,2,1,4,3,3,85,389,113
Beta_1.0,u_015,82,193,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,2,0,0,4,0,0,0,0,1,0,0,0,0,1,9,1,2,3,1,1,2,2,0,0,1,0,1,2,1,3,9,95,373,149
Beta_1.0,u_016,92,220,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,1,4,0,0,0,1,1,1,4,0,1,0,1,1,1,1,0,0,0,0,2,8,1,2,2,0,1,3,0,4,85,390,153
Beta_1.0,u_017,79,220,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,3,3,1,0,0,1,1,2,0,0,4,1,1,0,0,1,3,1,0,0,0,1,7,6,14,70,429,148
Beta_1.0,u_018,88,192,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,3,1,3,4,1,0,0,1,0,2,1,2,4,4,2,1,0,2,5,8,75,446,115
Beta_1.0,u_019,92,185,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,1,1,2,6,0,3,5,3,1,2,0,1,1,2,9,73,414,155
Beta_1.0,u_020,76,188,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,2,1,0,1,2,1,0,0,1,0,3,1,1,2,5,3,4,2,5,62,428,120
Beta_1.0,u_021,69,184,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,3,3,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,3,1,1,0,0,0,1,0,3,2,5,47,440,128
Beta_1.0,u_022,80,153,13,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,3,0,0,0,3,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,1,1,3,0,0,3,1,1,0,49,465,139
Beta_1.0,u_023,80,150,13,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,3,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,2,0,0,1,2,2,1,7,48,506,130
Beta_1.0,u_024,76,198,12,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,1,0,3,2,4,2,55,478,139
Beta_1.0,u_025,50,235,5,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,2,3,3,3,1,0,2,4,65,475,111
Beta_1.0,u_026,75,202,7,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,3,0,0,3,0,1,1,1,0,2,0,0,1,8,78,428,114
Beta_1.0,u_027,75,202,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,7,1,1,0,1,0,0,0,0,0,0,1,1,1,1,3,1,1,0,2,3,2,0,2,2,0,1,9,64,421,108
Beta_1.0,u_028,91,189,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0,0,0,0,0,0,0,1,7,1,0,1,0,1,1,0,0,0,2,0,0,1,3,4,4,0,1,2,3,3,80,407,120
Beta_1.0,u_029,110,184,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,1,0,0,4,1,1,0,1,0,0,0,0,1,0,0,1,2,8,2,0,1,1,1,1,0,0,0,2,2,3,9,99,370,142
Beta_1.0,u_030,118,214,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,1,0,1,5,0,1,0,1,0,2,1,0,0,3,1,0,1,5,3,0,1,1,0,7,77,424,146
Beta_1.0,u_031,97,208,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,1,3,0,0,0,2,2,2,0,0,5,0,1,0,0,0,2,1,1,1,0,2,3,14,65,471,118
Beta_1.0,u_032,79,198,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,8,0,0,2,2,0,1,2,0,2,3,1,2,4,2,0,3,4,11,66,470,111
Beta_1.0,u_033,76,209,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,11,2,2,5,1,1,1,0,2,3,11,64,434,147
Beta_1.0,u_034,84,186,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,1,1,1,1,7,7,1,6,7,51,434,132
Beta_1.0,u_035,63,179,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,5,3,52,407,144
Beta_1.0,u_036,83,156,16,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,2,2,0,0,0,0,3,0,4,58,422,174
Beta_1.0,u_037,79,164,17,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,2,0,0,3,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,2,4,1,2,42,523,148
Beta_1.0,u_038,67,195,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,4,3,1,2,4,1,50,497,112
Beta_1.0,u_039,64,222,6,3,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,1,1,0,2,1,2,2,1,0,1,1,0,2,5,60,464,100
Beta_1.0,u_040,90,196,6,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,1,2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,1,1,1,1,7,3,1,2,0,0,1,1,5,70,439,105
Beta_1.0,u_041,104,166,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,2,4,1,0,2,0,0,0,0,1,0,1,1,2,1,2,0,1,1,0,3,3,3,0,1,11,8,71,441,102
Beta_1.0,u_042,111,157,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,1,0,0,0,0,1,1,0,1,0,4,2,1,0,2,1,0,2,0,0,0,0,2,4,3,4,0,3,1,5,94,396,151
Beta_1.0,u_043,111,190,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,3,0,2,0,4,0,1,0,0,0,2,0,0,0,0,0,2,2,0,5,2,2,1,2,0,0,2,0,0,0,10,94,395,162
Beta_1.0,u_044,92,228,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,1,3,0,0,0,0,3,1,3,3,0,1,0,1,0,2,1,1,1,0,0,0,1,0,2,2,1,3,8,73,462,123
Beta_1.0,u_045,72,233,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,2,3,2,0,1,1,0,3,0,0,3,2,0,1,0,1,1,4,0,2,2,2,12,57,514,100
Beta_1.0,u_046,70,226,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6,0,3,2,0,5,4,0,0,3,1,3,2,0,2,4,2,2,2,10,64,446,116
Beta_1.0,u_047,70,196,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,3,4,4,2,6,2,3,1,1,0,5,12,64,414,159
Beta_1.0,u_048,68,202,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,1,4,3,4,3,8,10,57,409,144
Beta_1.0,u_049,75,189,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,4,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,5,1,3,49,427,146
Beta_1.0,u_050,97,170,11,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,6,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,7,47,459,169
Beta_1.0,u_051,79,184,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,3,0,0,1,2,1,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,4,0,2,0,2,4,0,52,533,115
Beta_1.0,u_052,62,212,10,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,3,1,0,1,2,1,0,0,4,0,2,2,4,48,492,104
Beta_1.0,u_053,81,213,7,3,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,1,3,2,0,2,2,1,0,2,1,1,2,1,4,65,464,83
Beta_1.0,u_054,88,186,9,4,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,2,1,0,0,0,0,0,0,2,0,1,1,1,1,0,2,1,1,1,1,3,0,3,3,0,1,1,7,60,458,105
Beta_1.0,u_055,89,177,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,0,0,3,1,0,2,1,0,1,0,1,0,3,1,0,2,0,1,0,5,2,1,1,2,3,4,89,437,115
Beta_1.0,u_056,86,178,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,2,2,1,0,0,0,1,1,0,0,1,0,0,0,2,4,0,2,2,1,0,0,2,1,2,3,0,3,0,2,5,95,416,131
Beta_1.0,u_057,87,198,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,2,3,1,1,3,0,3,0,1,0,1,0,0,1,1,1,0,1,0,1,0,2,3,0,5,2,0,0,0,9,92,430,142
Beta_1.0,u_058,71,250,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,1,1,3,2,2,0,1,3,0,1,0,1,1,2,2,0,0,0,0,0,1,0,1,1,7,6,79,499,102
Beta_1.0,u_059,64,245,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,2,4,0,4,3,0,1,1,3,3,0,1,0,5,1,1,1,0,1,5,1,2,0,9,62,495,113
Beta_1.0,u_060,59,222,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0,0,1,0,0,0,0,0,3,0,0,0,3,2,2,2,2,3,2,4,3,3,2,0,2,5,3,1,3,76,453,144
Beta_1.0,u_061,61,199,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,4,1,1,0,4,5,2,3,2,3,3,1,5,6,66,428,131
Beta_1.0,u_062,79,194,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,2,0,2,0,1,0,2,0,1,0,0,2,2,1,0,4,3,8,57,422,126
Beta_1.0,u_063,81,184,7,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,2,0,0,0,1,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,3,0,1,7,49,448,151
Beta_1.0,u_064,86,173,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,3,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,2,1,0,1,0,0,1,0,2,2,3,46,501,145
Beta_1.0,u_065,63,208,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,2,3,2,1,2,2,3,36,530,120
Beta_1.0,u_066,63,226,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,1,1,1,1,2,2,2,2,2,4,57,525,81
Beta_1.0,u_067,86,216,5,1,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,2,1,5,0,2,0,0,0,2,1,1,2,5,70,484,84
Beta_1.0,u_068,65,189,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,4,3,0,0,1,1,1,0,1,1,1,0,1,0,0,5,1,0,2,0,2,0,1,4,0,2,1,63,466,117
Beta_1.0,u_069,74,197,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,3,1,0,0,0,1,0,1,0,0,0,0,4,3,0,0,0,0,3,2,1,0,1,1,3,0,0,3,2,2,1,4,73,470,121
Beta_1.0,u_070,78,181,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,5,2,1,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,5,5,0,1,1,2,4,2,0,2,2,3,85,455,125
Beta_1.0,u_071,74,235,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,4,2,0,5,0,1,2,0,2,0,0,0,1,2,1,1,0,0,2,0,0,0,0,1,2,0,5,6,0,0,7,80,484,108
Beta_1.0,u_072,64,253,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,2,2,2,1,1,1,6,1,0,3,0,0,2,2,0,0,4,0,0,0,0,1,1,1,1,0,5,68,519,96
Beta_1.0,u_073,61,260,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,6,2,0,2,2,1,1,0,4,4,1,1,4,1,1,0,1,3,5,0,1,4,56,503,110
Beta_1.0,u_074,66,247,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,3,3,3,1,4,5,0,2,2,2,6,1,3,6,1,3,68,455,137
Beta_1.0,u_075,71,218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,1,2,0,1,2,2,3,5,3,3,2,1,2,10,69,439,106
Beta_1.0,u_076,77,212,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,2,0,1,1,1,0,1,0,4,13,59,446,107
Beta_1.0,u_077,69,212,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,4,1,0,0,0,1,2,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,2,1,2,2,45,478,134
Beta_1.0,u_078,71,183,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,1,1,3,2,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,2,1,1,1,1,0,0,1,1,0,0,2,0,6,48,513,152
Beta_1.0,u_079,56,220,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,6,1,0,3,2,0,6,42,552,99
Beta_1.0,u_080,65,226,5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,1,2,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,0,1,1,0,1,0,3,0,1,2,3,1,4,55,533,80
Beta_1.0,u_081,60,211,5,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,9,1,0,0,0,1,2,0,0,0,0,2,1,2,0,1,1,1,0,3,3,0,0,2,1,1,2,0,2,58,507,92
Beta_1.0,u_082,66,191,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,5,3,0,0,1,0,0,2,3,1,1,1,2,3,1,1,0,1,0,1,4,2,3,69,467,117
Beta_1.0,u_083,64,192,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,7,2,0,0,2,0,2,4,3,0,1,3,2,2,3,72,467,118
Beta_1.0,u_084,71,209,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,5,1,2,1,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,7,2,1,1,2,2,6,85,470,141
Beta_1.0,u_085,76,241,3,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,3,1,0,0,5,0,3,0,1,0,0,0,2,2,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,13,84,503,87
Beta_1.0,u_086,60,265,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,5,1,2,2,0,1,0,5,3,1,2,1,0,1,1,0,0,2,2,0,1,1,1,1,0,1,3,67,507,126
Beta_1.0,u_087,57,269,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,0,2,5,1,1,2,2,0,1,0,4,5,2,0,4,1,1,1,3,1,5,0,7,64,510,110
Beta_1.0,u_088,72,235,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,3,2,5,4,1,3,3,1,2,1,8,2,6,0,3,62,484,112
Beta_1.0,u_089,81,205,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,1,1,0,2,0,2,1,1,3,4,3,3,2,2,2,69,457,108
